Player,School,G,FGP,3P%,FTP,TRB,AST,STL,BLK,TOV,PTS,Nat
Zion Williamson,Duke,33,0.68,0.338,0.64,8.9,2.1,2.1,1.8,2.4,22.6,D
Ja Morant,Murray State,65,0.485,0.343,0.81,6.1,8.2,1.4,0.6,3.8,18.7,D
RJ Barrett,Duke,38,0.454,0.308,0.665,7.6,4.3,0.9,0.4,3.2,22.6,D
De'Andre Hunter,Virginia,71,0.509,0.419,0.773,4.4,1.6,0.6,0.5,1.2,12.4,D
Darius Garland,Vanderbilt,5,0.537,0.478,0.75,3.8,2.6,0.8,0.4,3,16.2,D
Jarrett Culver,Texas Tech,75,0.459,0.341,0.687,5.6,2.8,1.3,0.6,2.1,14.9,D
Coby White,UNC,35,0.423,0.353,0.8,3.5,4.1,1.1,0.3,2.7,16.1,D
Jaxson Hayes,Texas,32,0.728,,0.74,5,0.3,0.6,2.2,0.9,10,D
Rui Hachimura,Gonzaga,102,0.579,0.316,0.746,4.4,0.8,0.6,0.5,1.2,12.1,D
Cam Reddish,Duke,36,0.356,0.333,0.772,3.7,1.9,1.6,0.6,2.7,13.5,D
Cameron Johnson,Texas State,118,0.464,0.333,0.611,5.4,0.7,0.9,0.5,2,10.1,D
PJ Washington,Kentucky,72,0.521,0.384,0.632,6.6,1.7,0.8,1,1.9,12.9,D
Tyler Herro,Kentucky,37,0.462,0.355,0.935,4.5,2.5,1.1,0.3,1.6,14,D
Romeo Langford,Indiana,32,0.448,0.272,0.722,5.4,2.3,0.8,0.8,2.1,16.5,D
Sekou Doumbouya,,,,,,,,,,,,F
Chuma Okeke,Auburn,72,0.481,0.389,0.703,6.3,1.5,1.3,1,1.3,9.9,D
Nickeil Alexander-Walker,Virginia Tech,67,0.464,0.383,0.763,4,2.7,1.4,0.5,2.2,13.5,D
Goga Bitadze,,,,,,,,,,,,F
Luka Samanic,,,,,,,,,,,,F
Matisse Thybulle,Washington,135,0.429,0.358,0.782,3.1,2,2.5,1.4,1.9,9.2,D
Brandon Clarke,Gonzaga,37,0.687,0.267,0.694,8.6,1.9,1.2,3.2,1.5,16.9,D
Grant Williams,Tennessee,104,0.516,0.291,0.758,6.5,2.1,0.9,1.5,2.1,15.7,D
Darius Bazley,,,,,,,,,,,,F
Ty Jerome,Virginia,105,0.435,0.392,0.788,3,3.7,1.2,0,1.4,9.6,D
Nassir Little,UNC,36,0.478,0.269,0.77,4.6,0.7,0.5,0.5,1.3,9.8,D
Dylan Windler,Belmont,128,0.541,0.406,0.761,7.8,2,1,0.8,1.6,13.2,D
Mfiondu Kabengele,Florida State,71,0.498,0.374,0.724,5.3,0.3,0.5,1.2,1.2,10.3,D
Jordan Poole,Michigan,75,0.434,0.37,0.831,2.2,1.4,0.8,0.2,1.1,9.4,D
Keldon Johnson,Kentucky,37,0.461,0.381,0.703,5.9,1.6,0.8,0.2,1.6,13.5,D
Kevin Porter Jr.,USC,21,0.471,0.412,0.522,4,1.4,0.8,0.5,1.9,9.5,D
Nicolas Claxton,Georgia,65,0.457,0.302,0.611,6.2,1,0.6,1.9,1.4,8.4,D
Kezie Okpala,Stanford ,52,0.439,0.331,0.674,4.8,1.9,1,0.5,2.7,13.8,D
Carsen Edwards,Purdue,108,0.412,0.368,0.817,3.4,2.5,1.2,0.2,2.2,17.8,D
Bruno Fernando,Maryland,64,0.595,0.308,0.763,8.7,1.4,0.5,1.6,2.3,12,D
Marcos Louzada Silva,,,,,,,,,,,,F
Cody Martin,Nevada,70,0.511,0.336,0.725,5.4,4.8,1.5,1.1,2,13.1,D
Deividas Sirvydis,,,,,,,,,,,,F
Daniel Gafford,Arkansas,67,0.635,,0.562,7.4,0.7,0.7,2.1,1.7,14.3,D
Alen Smailagic,,,,,,,,,,,,F
Justin James,Sacred Heart,93,0.402,0.336,0.676,2.9,0.6,0.8,0.5,1.3,4.8,D
Eric Paschall,Villanova,110,0.487,0.338,0.756,5.1,1.7,0.7,0.5,1.7,11.4,D
Admiral Schofield,Tennessee,132,0.458,0.387,0.763,5.3,1.3,0.7,0.4,1.4,11.9,D
Jaylen Nowell,Washington,70,0.476,0.396,0.789,4.6,2.9,1.2,0.3,2.7,16.1,D
Bol Bol,Oregon,9,0.561,0.52,0.757,9.6,1,0.8,2.7,2,21,D
Isaiah Roby,Nebraska,97,0.476,0.336,0.702,5.5,1.5,0.8,1.6,1.6,8.1,D
Talen Horton-Tucker,Iowa State,35,0.406,0.308,0.625,4.9,2.3,1.3,0.7,1.7,11.8,D
Ignas Brazdeikis,Michigan,37,0.462,0.392,0.773,5.4,0.8,0.7,0.5,1.2,14.8,D
Terance Mann,Florida State,140,0.552,0.327,0.67,5.1,1.9,0.8,0.2,1.4,9.4,D
Quinndary Weatherspoon,Mississippi State,131,0.48,0.368,0.788,5.2,2.4,1.5,0.4,2.3,15.4,D
Jarrell Brantley,College of Charleston,123,0.487,0.353,0.768,7.9,1.7,1.2,0.7,2.6,15.6,D
Tremont Waters,LSU,66,0.423,0.34,0.807,3.1,5.9,2.5,0.1,3.2,15.6,D
Jalen McDaniels,San Diego State,67,0.504,0.298,0.758,7.9,1.5,1,0.5,1.8,13.2,D
Justin Wright-Foreman,Hofstra,125,0.483,0.386,0.811,2.9,2.1,0.7,0.2,1.7,18.6,D
Marial Shayok,Iowa State,34,0.496,0.386,0.878,4.9,2,0.9,0.2,2.7,18.7,D
Kyle Guy,Virginia,106,0.433,0.425,0.806,3,1.6,0.7,0,1.1,12.5,D
Jaylen Hands,UCLA,64,0.409,0.373,0.762,3.8,4.4,1.2,0.2,2.5,12.1,D
Jordan Bone,Tennessee,95,0.424,0.353,0.817,2.4,4.3,0.7,0.1,1.6,9.7,D
Miye Oni,Yale,87,0.428,0.356,0.777,6.2,3.3,0.9,1,2.6,15,D
Dewan Hernandez,Maimi,64,0.56,0,0.675,4.9,0.3,0.5,0.9,1.2,8.6,D
Vanja Marinkovic,,,,,,,,,,,,F
